,pmid_pmcid,publisher,journal_title,article_title,cost_with_vat
111,PMC3697654,American Society of Microbiology,Jounral of clinical microbiology,Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis,1364.47
112,22875964 PMCID: PMC3457148 ,American Society of Microbiology,Journal of virology,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein",1247.41
113,PMC3624379,American Society of Microbiology,Journal of virology,Genetic variability and the classification of hepatitis E virus,2019.89
114,1852.505,American Speech-Language-Hearing Association,Speech language and hearing research,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence,1969.02
115,PMCID: 3581401,ASBMB,Biological chemistry,MOLECULAR ARCH. OF A COMPLEX BETWEEN ADHESION PROTEIN FROM MALARIA PARASITE & INTRACELLULAR ADHESION,946.55
116,PMC3591638,ASBMB,Biologicial chemistry,Molecular Basis for Jagged-1 Serrate,1281.59
117,PMC3438964,ASBMB,J biol chem,Structure and mechanism of human UDP-xylose synthase: evidence for a promoting role of sugar ring distortion in a three-step catalytic conversion of UDP-glucuronic acid.,1290.23
118,PMC3308871,ASBMB,J biol chem,Structural and evolutionary basis for the dual substrate selectivity of human KDM4 histone demethylase family. ,1508.97
119,PMC3265891,ASBMB,J biol chem,Structural and kinetic evidence that catalytic reaction of human UDP-glucose 6-dehydrogenase involves covalent thiohemiacetal and thioester enzyme intermediates.,1521.32
120,PMC3597819,ASBMB,Journal of biological chemistrystry,Structural Basis for Cul3 Protein Assembly with the BTB-Kelch Family of E3 Ubiquitin Ligases,1334.16
121,23129765 PMC3531760 ,ASBMB,Journal of biological chemistry,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses,1134.5
122, PMC3516716,ASBMB,Journal of biological chemistry,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)",1150.6
123,PMC3581394 ,ASBMB,Journal of biological chemistry,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation,1225.26
124,PMC3554938 ,ASBMB,Journal of biological chemistry,Deubiquitinases regulate the activity of caspase-1 and IL-1? secretion via assembly of the inflammasome,1246.42
125,PMC2757965,ASBMB,Journal of biological chemistry,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling,1246.76
126,1852.505,ASBMB,Journal of biological chemistry,Matrilin-1 A-domains: structural and functional investigations reveal insights into their role in cartilage ecm assembly,1260.9
127,3234717,ASBMB,Journal of biological chemistry,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant,1276.08
128,PMC3173209,ASBMB,Journal of biological chemistry,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.,1286.86
129,3696646,ASBMB,Journal of biological chemistry,Comparative Proteomic Analysis of Supportive and Unsupportive Extracellular Matrix Substrates for Human Embryonic Stem Cell Maintenance.,1287.75
130,PMCID: 3682544,ASBMB,Journal of biological chemistry,STRUCTURAL ANALYSIS OF COLLAGEN TYPE I INTERACTIONS WITH HUMAN FIBRONECTIN REVEALS A COOPERATIVE BONDING MODE,1314.53
131,3431625,ASBMB,Journal of biological chemistry,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness,1343.39
132,PMC3488092,ASBMB,Journal of biological chemistry,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking,1443.99
133,2339840 PMC3591641 ,ASBMB,Journal of biological chemistry,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors,1545.1
134,PMC3630886,ASBMB,Journal of biological chemistry,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).,1552.26
135,2952269,ASBMB,Journal of biological chemistry,SSS1p is required to complete protein translocon activation,1556.61
136,3121340,ASBMB,Journal of biological chemistry,Preferential Targeting of a Signal Recognition Particle-dependent Precursor ,1556.61
137,PMC3567677,ASBMB,Journal of biological chemistry,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload,1572.24
138,PMC3774368 ,ASBMB,Journal of biological chemistry,Functional properties of five Dictyostelium discoideum P2X receptors,1580.47
139,PMC3630861,ASBMB,Journal of biological chemistry,Cross-species Analysis Reveals Evolving And Conserved Features of the Nuclear Factor kB (NF-kB) Proteins.,1600.25
140,23569211 PMC3668706,ASBMB,Journal of biological chemistry,Highly divergent T cell receptor binding models underlie specific recognition of a bulged viral peptide bound to HLA,1609.66
141,PMC3488048,ASBMB,Journal of biological chemistry,Biophysical analysis of Kindlin-3 reveals an elongated conformation and maps integrin binding to the membrane-distal ?-subunit NPXY motif.,1610.31
142,PMC3724654,ASBMB,Journal of biological chemistry,Differential Virulence of Candida glabrata Glycosylation Mutants,1621.62
143,2797226,ASBMB,Journal of biological chemistry,Nucleotide Binding by Lhs1p Is Essential for Its Nucleotide Exchange Activity and for Function in Vivo,1707.08
144,PMC3442528,ASBMB,Journal of biological chemistry,Hypoxia-inducible factor-1a (HIF1a) switches on transient receptor potential ankryn repeat 1 (TRPA1) gene expression via a hypoxia response element-like motif to modulate cytokine release,1763.21
145,2898433,ASBMB,Journal of biological chemistry,Interactions between Kar2p and its nucleotide exchange factors Sil1p and Lhs1p are mechanistically distinct,2003.13
146,3397837,ASBMB,Journal of biological chemistry,Specific ?-containing integrins exert differential control on proliferation and 2D collective cell migration in mammary epithelial cells,2032.22
147, PMCID: PMC3750171 ,ASBMB,Journal of biological chemistry,Hepatitis C virus NS5 inhibits mixed lineage kinase 3 to block apoptosis,2311.57
148,2975197,ASBMB,Journal of biological chemistry,Cell Cycle-dependent Regulation of the Forkhead Transcription Factor FOXK2 by CDK·Cyclin Complexes,2344.79
149,PMC3234811,ASBMB,Journal of biological chemistry,Picomolar nitric oxide signals from central neurons recorded using ultrasensitive detector cells,1852.505
150,3137072,ASBMB,Journal of biological chemistry,"Characterisation of GAS2-like 3, a new microtubule and actin-binding protein related to spectraplakins",917.5
151,PMC3522295,ASBMB,Journal of biological chemistry,"Direct and indirect control of MAPK pathway associated components, BRAP/IMP and CRAF, by
the deubiquitylating enzyme USP15*",929.31
152,: PMC3711325 ,ASBMB,Journal of biological chemistry,Glycoprotein biosynthesis in a eukaryote lacking the membrane protein rft1,992.01
153,PMCID: PMC3591657 ,ASBMB,Mcp (molecular & cellular proteomics),Global Subcellular Characterisation of Protein Degradation using Quantitative Proteomics,1294.01
154,PMC3734580,ASBMB,Molecular and cellular proteomics,Heterogeneity in neutrophil microparticles reveals distinct proteome and function properties,1545.7
155,PMC3173209,ASBMB,The journal of biological chemistry,The T-cel receptor triggering apparatus is composed of monovalent or monomeric proteins,1281.15
156,PMCID: PMC3772201,ASBMB,The journal of biological chemistry,Galactose 6-o-sulfotransferases are not required for the generation of siglec-f ligands in leukocytes or lung tissue.,1311.73
157,PMCID: PMC3663545,ASBMB,The journal of biological chemistry,Allosteric activation of trypanosomatid deoxyhypusine synthase by a catalytically dead paralog,1324.57
158,PMCID: PMC3630849,ASBMB,The journal of biological chemistry,Structure of a Complex Phosphoglycan Epitope from gp72 of Trypanosoma cruzi,1340.75
159,PMC3527912,ASBMB,The journal of biological chemistry,Structural and functional characterisation of the kindlin-1 pleckstrin homology domain,1518.46
160,23698002 PMC3696650,ASBMB,The journal of biological chemistry,T-Cell Receptor specifically maintained by altered thermodyamics,1566.89
161,23443656,ASBMB Cadmus,Journal biological chemistry,Biochemical and immunological characterisation of Toxoplasma gondii macrophage migration inhibitory factor,381.04
162,PMC3391134,ASBMB/Cadmus,Journal biological chemistry,Defining the requirements for collagenase cleavage in collagen type III using a bacterial collagen system.,938.75
163,PMC3757190 ,ASBMB/Cenveo Publisher Services,Journal of biological chemistry,Fused in Sarcoma (FUS) Protein Lacking Nuclear Localization Signal (NLS) and Major RNA Binding Motifs Triggers Proteinopathy,1188.39
164,23589301,ASBMC /CENVEO,Journal of biol chem,Defining the molecular basis for the first potent and selective orthosteric agonists of the FFA2 free fatty acid receptor ,1055.07
165,3811811,ASM,Infection and immunity,Zebrafish as a novel vertebrate model to dissect enterococcal pathogenesis,1529.54
166,PMC3571495,ASM,Journal of virology,Estimating the Rate of Intersubtype Recombination in Early HIV-1 Group M Strains,1901.79
167,PMCID: PMC:3697379,ASM (American Society for Microbiology),Antimicrobial agents and chemotherapy,Comparison of a high-throughput high-content intracellular Leishmania donovani assay with an axenic amastigote assay,1299.39
168,PMC3826327 ,Association for Research in Vision & Ophthalmology,Journal of vision,Does optic flow parsing depend on prior estimation of heading?,1157.88
169,23409763,Bentham Science Publishers,Current topics in medicinal chemistry,The Therapeutic Potential of Allosteric Ligands for Free Fatty Acid Sensitive GPCRs,2291.22
170,23885220 PMC3706957 ,Benthan Science Publishers,Current analytical chemistry,Ion mobility spectrometry-mass spectrometry of intrinsically unfolded proteins: trying to put order into disorder,2142.99
171,"Monograph chapter, not in PMC",Berhahn Books,"Evidence, ethos and experiment: the anthropology and history of medical research in africa",Parasite lost - remembering modern times with Kenyan government medical scientists.,651.25
172,"Monograph chapter, not in PMC",Berhahn Books,"Evidence, ethos and experiment: the anthropology and history of medical research in africa","Studying trial Communities: anthropological and historical enquiries and ethos, politics and economy of medical research in Africa.",651.25
